chart_id,chart_type,label_index,pseudo_gold,sample_id,status,outcome_2pct
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,bar,0,29.0,fgmvp_0070,accepted,correct_within_2pct
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,bar,1,27.0,fgmvp_0071,accepted,correct_within_2pct
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,bar,2,30.0,fgmvp_0072,accepted,geometry_error_gt_2pct
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,bar,3,28.0,fgmvp_0073,accepted,geometry_error_gt_2pct
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,bar,4,24.0,fgmvp_0074,accepted,geometry_error_gt_2pct
9500279cecd9aad131f3c57b14681d07285d07524501aac928bd7fade64662a0,line,0,16.0,,construction_failed,construction_failed
9500279cecd9aad131f3c57b14681d07285d07524501aac928bd7fade64662a0,line,1,20.0,,construction_failed,construction_failed
9500279cecd9aad131f3c57b14681d07285d07524501aac928bd7fade64662a0,line,2,14.0,,construction_failed,construction_failed
69fa6f61c59e9617b0bb8a8876634be294098e986fca2fddae6c2a20626ebaf2,bar,0,48.0,fgmvp_0075,accepted,correct_within_2pct
69fa6f61c59e9617b0bb8a8876634be294098e986fca2fddae6c2a20626ebaf2,bar,1,5.0,fgmvp_0076,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,0,21.3,fgmvp_0077,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,1,18.5,fgmvp_0078,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,2,13.6,fgmvp_0079,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,3,15.4,fgmvp_0080,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,4,16.1,fgmvp_0081,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,5,10.6,fgmvp_0082,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,6,9.5,fgmvp_0083,accepted,correct_within_2pct
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,bar,7,8.1,fgmvp_0084,accepted,correct_within_2pct
cd292e261fcf22bcd300366b04e42834cf48b4b0ce865cb7dcbf258f36d3de91,line,0,35.0,fgmvp_0085,accepted,geometry_error_gt_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,0,10.0,fgmvp_0086,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,1,12.1,,construction_failed,construction_failed
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,2,4.1,fgmvp_0087,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,3,3.6,fgmvp_0088,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,4,8.4,fgmvp_0089,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,5,9.3,fgmvp_0090,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,6,7.7,fgmvp_0091,accepted,correct_within_2pct
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,bar,7,9.9,fgmvp_0092,accepted,correct_within_2pct
a8049e206e876ab4ee4c13e7354108806dfd89161f9a133bd5341e005fdd002c,bar,0,12.4,,construction_failed,construction_failed
a8049e206e876ab4ee4c13e7354108806dfd89161f9a133bd5341e005fdd002c,bar,1,9.5,fgmvp_0093,accepted,correct_within_2pct
0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,line,0,24.0,fgmvp_0094,accepted,correct_within_2pct
d823654ed4cfa0b0bf0e8b3b7621a23d7083c0225ba118a122e63dacfab9c81a,bar,0,54.1,,construction_failed,construction_failed
d823654ed4cfa0b0bf0e8b3b7621a23d7083c0225ba118a122e63dacfab9c81a,bar,1,19.2,fgmvp_0095,accepted,correct_within_2pct
d823654ed4cfa0b0bf0e8b3b7621a23d7083c0225ba118a122e63dacfab9c81a,bar,2,11.3,fgmvp_0096,accepted,correct_within_2pct
4ba17a60ee1ffacff3e634ec938c72b6a6b366fa5318f059c3f48b664a541cac,bar,0,7.1,fgmvp_0097,accepted,correct_within_2pct
4ba17a60ee1ffacff3e634ec938c72b6a6b366fa5318f059c3f48b664a541cac,bar,1,3.9,fgmvp_0098,accepted,correct_within_2pct
4ba17a60ee1ffacff3e634ec938c72b6a6b366fa5318f059c3f48b664a541cac,bar,2,0.8,fgmvp_0099,accepted,correct_within_2pct
f27fe8d4aa6f244195f63da7fa8e6df816531c861afc84bfd9a0a053664909c4,line,0,8.0,,construction_failed,construction_failed
fa21f4ffe212ccdbcb219bada4b4065568e0baffc733cfee558c6b4a0ea6c96c,bar,0,590.0,fgmvp_0100,accepted,correct_within_2pct
fa21f4ffe212ccdbcb219bada4b4065568e0baffc733cfee558c6b4a0ea6c96c,bar,1,539.0,fgmvp_0101,accepted,correct_within_2pct
fa21f4ffe212ccdbcb219bada4b4065568e0baffc733cfee558c6b4a0ea6c96c,bar,2,76.0,fgmvp_0102,accepted,correct_within_2pct
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,bar,0,348.6,fgmvp_0103,accepted,correct_within_2pct
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,bar,1,381.1,fgmvp_0104,accepted,correct_within_2pct
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,bar,2,271.2,fgmvp_0105,accepted,correct_within_2pct
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,bar,3,304.5,fgmvp_0106,accepted,correct_within_2pct
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,bar,4,250.5,fgmvp_0107,accepted,correct_within_2pct
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,line,0,68.0,fgmvp_0108,accepted,geometry_error_gt_2pct
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,line,1,67.0,fgmvp_0109,accepted,geometry_error_gt_2pct
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,line,2,64.0,fgmvp_0110,accepted,geometry_error_gt_2pct
87f9ccbdcbd7240407c6466ba059c7e400d7ec1459ea13a2528f7704d12b54d9,bar,0,1.84,fgmvp_0111,accepted,correct_within_2pct
87f9ccbdcbd7240407c6466ba059c7e400d7ec1459ea13a2528f7704d12b54d9,bar,1,1.55,fgmvp_0112,accepted,correct_within_2pct
d3f516e48b08a0ecef02bacf431259dfd52b71d833f60edbc3dfa4e60b6c33a6,bar,0,1.2,fgmvp_0113,accepted,correct_within_2pct
d3f516e48b08a0ecef02bacf431259dfd52b71d833f60edbc3dfa4e60b6c33a6,bar,1,0.7,fgmvp_0114,accepted,geometry_error_gt_2pct
d3f516e48b08a0ecef02bacf431259dfd52b71d833f60edbc3dfa4e60b6c33a6,bar,2,0.7,fgmvp_0115,accepted,correct_within_2pct
db65446f33c0ac6bdff08f2cf7f4eacee00158b395d475073e87a80494a4869a,line,0,157.0,,construction_failed,construction_failed
